source	target	LR_pair	model	tissue	interaction_name	pathway_name	ligand	receptor	agonist	antagonist	co_A_receptor	co_I_receptor	evidence	annotation	interaction_name_2	value.SD-LS	value.SS-LS	value.SD-HS 3d	value.C57BL/6-Saline 3d	value.SS-HS 21d	value.C57BL/6-AngII 3d	value.SHR-10w	value.WKY-10w	value.C57BL/6-AngII 28d	value.SHR-26w	value.WKY-26w	value.SS-HS 3d	sxt	value	strain	treatment
EC7	EC7	LAMB2_ITGA9_ITGB1	Salt-sensitive	LV	LAMB2_ITGA9_ITGB1	LAMININ	Lamb2	ITGA9_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamb2  - (Itga9+Itgb1)	0	0.025780963822348	0	0	0.00116018694367811	0	0	0	0	0	0	0	SS-HS 3d	-0.025780963822348	SS	HS 3d
EC2	EC7	LAMC1_ITGA9_ITGB1	Salt-sensitive	LV	LAMC1_ITGA9_ITGB1	LAMININ	Lamc1	ITGA9_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamc1  - (Itga9+Itgb1)	0.0335577065601504	0.0338998952205412	0	0	0.00811026060083198	0	0	0	0	0	0	0	SS-HS 21d	-0.0257896346197092	SS	HS 21d
Fibroblast	PT	LAMA2_ITGAV_ITGB8	Salt-sensitive	LK	LAMA2_ITGAV_ITGB8	LAMININ	Lama2	ITGAV_ITGB8					KEGG: mmu04512	ECM-Receptor	Lama2  - (Itgav+Itgb8)	0	0.0647407492189701	0	0	0.0153698028692531	0	0	0	0	0	0	0.0389384480012489	SS-HS 3d	-0.0258023012177212	SS	HS 3d
E/P transition cell	Excitatory neuron	NCAM1_NCAM2	AngII	HYP	NCAM1_NCAM2	NCAM	Ncam1	Ncam2					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam2	0	0	0	0.0258157585376414	0	0	0	0	0	0	0	0	C57BL/6-AngII 3d	-0.0258157585376414	C57BL/6	AngII 3d
E/P transition cell	Excitatory neuron	NCAM1_NCAM2	AngII	HYP	NCAM1_NCAM2	NCAM	Ncam1	Ncam2					KEGG: mmu04514	Cell-Cell Contact	Ncam1  - Ncam2	0	0	0	0.0258157585376414	0	0	0	0	0	0	0	0	C57BL/6-AngII 28d	-0.0258157585376414	C57BL/6	AngII 28d
OPC	Inhibitory neuron	CNTN1_NRCAM	Salt-sensitive	HYP	CNTN1_NRCAM	CNTN	Cntn1	Nrcam					KEGG: mmu04514	Cell-Cell Contact	Cntn1  - Nrcam	0.155188389298976	0.160233479187699	0.182983574020209	0	0.134381977178837	0	0	0	0	0	0	0.170631164164972	SS-HS 21d	-0.025851502008862	SS	HS 21d
DCT	PT	EGF_EGFR	Salt-sensitive	LK	EGF_EGFR	EGF	Egf	Egfr					KEGG: mmu04012	Secreted Signaling	Egf  - Egfr	0	0.0705783293775728	0	0	0.0447198412365722	0	0	0	0	0	0	0.0735292741322223	SS-HS 21d	-0.0258584881410006	SS	HS 21d
EC15	DCT	PTPRM_PTPRM	Salt-sensitive	LK	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0.0998963974949553	0.0985725245594672	0	0.0900147939081258	0	0	0	0	0	0	0.0740276235770103	SS-HS 3d	-0.025868773917945	SS	HS 3d
DCT	EC15	PTPRM_PTPRM	Salt-sensitive	LK	PTPRM_PTPRM	PTPRM	Ptprm	Ptprm					KEGG: mmu04514	Cell-Cell Contact	Ptprm  - Ptprm	0	0.0998963974949553	0.0985725245594672	0	0.0900147939081258	0	0	0	0	0	0	0.0740276235770103	SS-HS 3d	-0.025868773917945	SS	HS 3d
Pericyte	Excitatory neuron	PTN_ALK	Spontaneous	HYP	PTN_ALK	PTN	Ptn	Alk					PMID: 28356350; PMID: 25620911	Secreted Signaling	Ptn  - Alk	0	0	0	0	0	0	0.025874061034915	0	0	0	0.0118339441122817	0	SHR-26w	-0.025874061034915	SHR	26w
Astrocyte	Astrocyte	NRXN1_NLGN1	Salt-sensitive	HYP	NRXN1_NLGN1	NRXN	Nrxn1	Nlgn1					KEGG: mmu04514	Cell-Cell Contact	Nrxn1  - Nlgn1	0.405401016272286	0.418178733911705	0.377428530410722	0	0.396660100561327	0	0	0	0	0	0	0.392303899654282	SS-HS 3d	-0.025874834257423	SS	HS 3d
EC6	EC7	LAMC1_ITGA9_ITGB1	Salt-sensitive	LV	LAMC1_ITGA9_ITGB1	LAMININ	Lamc1	ITGA9_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamc1  - (Itga9+Itgb1)	0	0.0343499195118889	0	0	0.00847494543164579	0	0	0	0	0	0	0	SS-HS 21d	-0.0258749740802431	SS	HS 21d
EC5	EC7	LAMB1_ITGA9_ITGB1	Salt-sensitive	LV	LAMB1_ITGA9_ITGB1	LAMININ	Lamb1	ITGA9_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamb1  - (Itga9+Itgb1)	0	0.0258880366773738	0	0	0	0	0	0	0	0	0	0	SS-HS 3d	-0.0258880366773738	SS	HS 3d
EC5	EC7	LAMB1_ITGA9_ITGB1	Salt-sensitive	LV	LAMB1_ITGA9_ITGB1	LAMININ	Lamb1	ITGA9_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamb1  - (Itga9+Itgb1)	0	0.0258880366773738	0	0	0	0	0	0	0	0	0	0	SS-HS 21d	-0.0258880366773738	SS	HS 21d
CM	EC15	LAMB2_ITGA6_ITGB1	Salt-sensitive	LV	LAMB2_ITGA6_ITGB1	LAMININ	Lamb2	ITGA6_ITGB1					KEGG: mmu04512	ECM-Receptor	Lamb2  - (Itga6+Itgb1)	0.025896117570237	0	0	0	0.0248314868910894	0	0	0	0	0	0	0	SD-HS 3d	-0.025896117570237	SD	HS 3d
